"RCP_Region","X1850","X1860","X1870","X1880","X1890","X1900","X1910","X1920","X1930","X1940","X1950","X1960","X1970"
"Argentina",23.4198360146568,29.1026948656513,41.2764592569791,57.1245074415243,73.261894011743,196.759734670957,591.599250870355,679.677397215896,642.127381607779,917.88768980124,1254.49945232452,3050.4481042097,3905.59423489487
"Asia-Stan",223.411025119279,232.674589810604,321.663131102494,413.707871524456,508.015517244881,625.785847501363,671.053526899906,835.24843513931,1079.13221251067,1448.93502663748,1772.56522395707,3129.64895559772,4538.6534186833
"Australia",804.367805932861,1709.8014242982,1640.7519408799,1569.6171112238,1508.83670444903,1316.05471490642,1793.96945779905,2102.64233659619,2227.87545878995,2337.22566767018,2660.3682087274,3357.64819212612,4489.54190218905
"Baltic States",137.374172818498,157.153865277407,150.947597950353,144.989565490276,139.022467208672,158.388234451712,161.850465357826,224.757939016013,246.59107304013,234.438218802771,268.751052526304,354.995705698143,432.07963293067
"Brazil",132.469787133367,153.056226067093,241.340515367946,329.034587808293,435.572041139412,596.320357429478,1076.53378367309,1267.88548169214,1309.458013324,1816.8644862182,2649.55697194745,5056.10407442997,6845.70788981083
"Canada",377.216909119156,566.283056534716,628.790658399672,695.436517358009,761.529514259339,899.773813102664,1146.35258165767,1351.79140506385,1460.60783794517,1622.73662222091,1866.90164740825,2138.2800572509,2985.06694976714
"Central America",72.2915632879464,79.7710201583611,116.044681494359,153.169033701249,192.152557038528,245.895939071173,410.288134323895,475.739780593242,508.856035703082,694.832685660447,854.947770385917,1649.67295732689,1990.35727201014
"Central Europe",1412.80589332223,1558.62092520042,1531.88199268515,1518.53608012161,1504.26623098079,1467.04452037402,1785.00439384149,2477.18250560732,4053.09370951775,3476.60855969474,5063.58313871148,6444.23632560546,7259.62925338421
"China+",3729.88255077339,3418.60181977118,4297.09761242203,5310.18674145594,6362.07701055715,6678.80812173778,7250.02901848238,8043.30205928522,8672.06763476428,10434.7039064549,12508.7555420013,23420.9818094892,23872.0689477197
"Eastern Africa",283.484431630112,306.934183065367,378.203904326048,449.726004420215,523.145019284084,606.042032663814,724.914933509607,1159.17142841604,1526.84268069724,1488.67844620331,3641.7445194155,3067.58631165514,4384.49948486021
"France",1015.69740759264,1050.49985323223,1415.78668415091,1785.06216849419,2163.36935819932,3163.24193020773,3084.61668156906,2621.95794682011,4087.99997259171,3715.42111259319,4103.02598497205,4616.53248455253,4114.48325126431
"Germany",1210.95946591335,1289.94563163179,1763.83858954426,2260.10741489307,2765.40455965346,4134.516060534,4741.62235736038,4495.87809332016,5000.04418395796,5766.61575023037,4714.74071847544,5594.76242213254,5378.18875214266
"Greenland",0,0,0,0,0,0,0,0,0,0,0,0,0.857929284717902
"India",4992.79788360709,5176.63758187818,7366.16097659198,9538.06677902841,11849.6518454209,12346.6216823714,11698.2544089837,13570.7445330623,14196.8864866078,14001.2598281583,14293.513916367,15882.5017537125,17933.5036441692
"Indonesia+",145.523392207384,182.728580545922,337.624456506387,492.538277434957,651.489808987866,773.232854006077,1009.02984697247,1434.61397311546,1640.08560099936,1942.28680229788,1876.97844742249,3060.918295993,3699.90453078301
"Italy",448.800384545852,484.012911048253,555.67815143036,641.063039123035,732.535774390473,994.652235087839,906.02287296437,1004.20526771227,1131.61174630072,1697.57574645382,1439.46804254133,1574.06014878192,1678.84852317147
"Japan",159.63635587208,165.346961002032,359.535118483432,557.613224099028,763.929442413476,870.901426836311,1039.41854844844,1292.7100623075,1384.78130182176,1786.9189576654,1540.06933009465,1871.88741620635,1767.73857098655
"Mexico",85.6265226785715,88.7685427479688,113.856079303764,139.010308236169,176.471813268573,307.277735219297,631.417060579885,865.321129325308,680.60353350453,770.167104861079,1028.73517305372,2055.05118904052,2691.80554164458
"Middle East",247.33608822865,257.444675192675,297.375930422065,344.781485367558,393.187953624441,407.492984458176,432.588603783784,471.963174267488,644.51336702276,801.715094578062,1478.38270604875,2989.94051261838,6834.57495843071
"New Zealand",452.244103687133,527.532044719819,497.529187184624,467.891202989321,440.77078998332,370.536505153482,516.25958542906,587.557655183305,635.708866263326,664.347592707934,746.871629379115,940.423380053583,1180.49811686981
"North Korea",59.9510684931447,60.7055433583189,96.2108855147145,131.772108091107,168.565041870949,170.656221280143,174.043788594968,183.420144949474,197.810501934085,207.800101601832,230.624215234706,340.868666757163,545.395014843019
"Northern Africa",251.466258999637,258.050943992067,271.246179816236,285.173078742592,309.296076960079,344.119188673259,396.069600480099,449.224946653421,553.531167034272,705.474481909232,1938.30596941341,1785.68807326835,9716.96854280024
"Oceania",21.0841486058863,22.5137856603541,23.0634102719326,23.6193639928889,24.2201156011231,22.9653094752362,28.8002342305375,35.18669892255,34.9342801127811,40.7738528049672,44.8507556492567,50.1404169372838,63.6649462988111
"Russia+",2180.29773301711,2492.95596466097,2569.62983175479,2685.24712860313,2812.93067398815,3533.58009520292,4010.56255606916,4378.12818853804,6084.64515148748,9351.66168978348,11485.3906552371,20750.8812842719,30264.9121265419
"South Africa",23.8763148483843,66.8800013857727,77.2983524383068,96.2608423994467,107.757963195272,140.197287985884,215.889822466853,336.586186670865,452.865776446891,455.39802167725,1698.9326522654,910.587377885346,1234.88894375027
"South America",98.4100916726428,112.755056860837,162.367656713317,216.215525115827,282.911256096773,494.431710375574,1062.54098806875,1157.75443227946,1302.20891290121,1772.80583708127,2306.00259400101,4139.23293313563,5146.7718297147
"South Asia",1201.00585155183,1244.09053252126,2619.94874259529,3994.81201520104,5418.75988343283,5477.80563128921,5541.02686276606,5611.80964180549,5882.63784056126,5911.62863222172,6172.23249742376,6708.31535238926,5468.49349811282
"South Korea",71.6424771935275,72.2269303462948,139.272126615454,206.013412605488,274.7673232656,310.975988881822,379.045389897546,509.802022761782,567.798114400119,720.976775620093,445.377392094133,670.230871440268,974.265449098403
"Southeastern Asia",357.88690277283,398.521934606177,1307.648621615,2224.63488227094,3168.9554944992,3627.38167643626,3923.53738743637,4258.47333508946,4571.26022327312,5132.25441010354,4087.3804217835,4699.87942639733,5223.90357019796
"Southern Africa",115.751772843853,122.425358414039,135.028344148043,147.916721214044,161.326921434269,186.746386328018,230.316904237443,418.877909634184,589.93808169185,618.438523058281,1270.90151078696,1387.63152478575,1876.50163934622
"Taiwan",15.3855901924745,15.8828757213868,46.5026065254576,77.1541443274423,108.719268472442,114.279143778376,125.031833389192,152.098164692918,169.605617434687,223.763840281072,250.180166697089,310.650624778393,345.420718361677
"Thailand",52.5073007403874,60.3364334697933,208.56741110082,356.806628580364,509.40574285967,539.2639168535,599.824970155357,718.747101989995,805.763736612265,995.609289764513,1437.33908992112,1659.30053116672,2174.40715927468
"Turkey",276.436496614629,285.956549635062,288.605313762494,290.714203472401,292.78037290853,298.269331536623,317.854511746679,342.552688366923,574.200737454924,743.210144320025,941.585205301024,1272.60885843888,1330.87926606821
"Ukraine+",850.395199003721,955.206854462415,1018.7707037871,1088.6002666385,1162.88604326308,1379.90378025654,1453.90580347146,1945.67294305971,2254.09140783062,2479.40189969685,3003.69438810744,4603.02784733948,6170.06457466163
"United Kingdom",2225.83594213058,2423.4429152651,3084.38162100284,3769.32469471624,4463.88572435747,5674.13424458672,6280.57281440074,5893.12698069094,6350.51632643386,6296.93636539193,6180.33228415582,6103.00629786135,5695.24281048614
"USA",5660.31270241473,7610.07381796792,8592.38710743561,9692.86935768473,10842.0995233582,13130.4890791551,17370.1283256705,21419.8239562401,19465.4935946481,20012.8038157318,22574.5030504959,23494.5555615975,28708.9500297266
"Venezuela",13.2933261036848,17.3746845238823,23.2196747501677,29.3538455996229,35.9478829950229,51.770343862998,112.310594133664,128.458666664008,1347.28774796686,1840.2275598606,5048.27972255252,9900.60965598603,13074.9496216106
"Western Africa",404.895851582647,413.828173046616,512.165563089189,610.843939100256,712.610639050372,761.921236027392,825.833747661271,1098.76291204877,1376.96385415765,1395.63466433028,2778.19017550962,2463.28759733606,4070.03059790993
"Western Europe",1470.16540632579,1596.64703778921,1871.64942950959,2156.75703158092,2447.56909949828,3599.53187165496,3265.90155617817,3433.51214489393,3924.92191897317,4378.97914021791,4374.76194820397,4861.22363741662,5192.07704092988
